,date,time,ticket_number,article,Quantity,unit_price,retour
180,2021*01*02,10:56,150085.0,TRADITIONAL BAGUETTE,4.0,"1,20 €",False
183,2021*01*02,10:57,150086.0,PAIN AU CHOCOLAT,1.0,"1,20 €",False
184,2021*01*02,10:57,150086.0,CEREAL BAGUETTE,1.0,"1,25 €",False
185,2021*01*02,10:57,150086.0,CROISSANT,2.0,"1,10 €",False
188,2021*01*02,10:58,150087.0,BAGUETTE,2.0,"0,90 €",False
191,2021*01*02,11:04,150088.0,TRADITIONAL BAGUETTE,2.0,"1,20 €",False
194,2021*01*02,11:06,150089.0,BAGUETTE,1.0,"0,90 €",False
197,2021*01*02,11:08,150090.0,CAFE OU EAU,1.0,"1,00 €",False
198,2021*01*02,11:08,150090.0,PAIN AU CHOCOLAT,1.0,"1,20 €",False
199,2021*01*02,11:08,150090.0,CROISSANT,1.0,"1,10 €",False
200,2021*01*02,11:08,150090.0,TRADITIONAL BAGUETTE,2.0,"1,20 €",False
203,2021*01*02,11:13,150091.0,TRADITIONAL BAGUETTE,5.0,"1,20 €",False
204,2021*01*02,11:13,150091.0,BRIOCHE,1.0,"5,00 €",False
205,2021*01*02,11:13,150091.0,SEIGLE,1.0,"1,80 €",False
206,2021*01*02,11:13,150091.0,COMPLET,1.0,"1,50 €",False
209,2021*01*02,11:14,150092.0,BAGUETTE,2.0,"0,90 €",False
210,2021*01*02,11:14,150092.0,CROISSANT,6.0,"1,10 €",False
213,2021*01*02,11:14,150093.0,FICELLE,1.0,"0,60 €",False
214,2021*01*02,11:14,150093.0,TRADITIONAL BAGUETTE,1.0,"1,20 €",False
217,2021*01*02,11:15,150094.0,BANETTE,5.0,"1,05 €",False
220,2021*01*02,11:16,150095.0,CROISSANT,2.0,"1,10 €",False
221,2021*01*02,11:16,150095.0,PAIN AU CHOCOLAT,4.0,"1,20 €",False
222,2021*01*02,11:16,150095.0,TRADITIONAL BAGUETTE,1.0,"1,20 €",False
223,2021*01*02,11:16,150095.0,PAIN AUX RAISINS,1.0,"1,40 €",False
226,2021*01*02,11:17,150096.0,PAIN AUX RAISINS,1.0,"1,40 €",False
227,2021*01*02,11:17,150096.0,CROISSANT,1.0,"1,10 €",False
228,2021*01*02,11:17,150096.0,TRADITIONAL BAGUETTE,2.0,"1,20 €",False
231,2021*01*02,11:18,150097.0,TRADITIONAL BAGUETTE,1.0,"1,20 €",False
234,2021*01*02,11:19,150098.0,CROISSANT,1.0,"1,10 €",False
235,2021*01*02,11:19,150098.0,TRADITIONAL BAGUETTE,1.0,"1,20 €",False
236,2021*01*02,11:19,150098.0,PAIN AU CHOCOLAT,1.0,"1,20 €",False
237,2021*01*02,11:19,150098.0,FICELLE,1.0,"0,60 €",False
240,2021*01*02,11:19,150099.0,BANETTE,1.0,"1,05 €",False
243,2021*01*02,11:20,150100.0,SPECIAL BREAD,1.0,"2,40 €",False
244,2021*01*02,11:20,150100.0,COUPE,1.0,"0,15 €",False
247,2021*01*02,11:22,150101.0,PAIN AU CHOCOLAT,1.0,"1,20 €",False
248,2021*01*02,11:22,150101.0,CROISSANT,3.0,"1,10 €",False
249,2021*01*02,11:22,150101.0,SPECIAL BREAD,1.0,"2,40 €",False
250,2021*01*02,11:22,150101.0,COUPE,1.0,"0,15 €",False
251,2021*01*02,11:22,150101.0,GAL POMME 6P,1.0,"12,00 €",False
254,2021*01*02,11:22,150102.0,BAGUETTE,1.0,"0,90 €",False
257,2021*01*02,11:23,150103.0,BANETTE,2.0,"1,05 €",False
258,2021*01*02,11:23,150103.0,GAL POMME 4P,1.0,"8,00 €",False
261,2021*01*02,11:24,150104.0,COOKIE,4.0,"1,00 €",False
264,2021*01*02,11:25,150105.0,TRADITIONAL BAGUETTE,2.0,"1,20 €",False
265,2021*01*02,11:25,150105.0,GAL FRANGIPANE 6P,1.0,"12,00 €",False
266,2021*01*02,11:25,150105.0,BANETTE,1.0,"1,05 €",False
269,2021*01*02,11:26,150106.0,FINANCIER X5,1.0,"3,00 €",False
270,2021*01*02,11:26,150106.0,TRADITIONAL BAGUETTE,1.0,"1,20 €",False
273,2021*01*02,11:29,150107.0,BAGUETTE,2.0,"0,90 €",False
276,2021*01*02,11:30,150108.0,TRADITIONAL BAGUETTE,1.0,"1,20 €",False
279,2021*01*02,11:30,150109.0,COUPE,2.0,"0,15 €",False
280,2021*01*02,11:30,150109.0,SEIGLE,1.0,"1,80 €",False
281,2021*01*02,11:30,150109.0,CEREAL BAGUETTE,3.0,"1,25 €",False
282,2021*01*02,11:30,150109.0,VIK BREAD,2.0,"2,50 €",False
285,2021*01*02,11:33,150110.0,COUPE,1.0,"0,15 €",False
286,2021*01*02,11:33,150110.0,TRADITIONAL BAGUETTE,1.0,"1,20 €",False
287,2021*01*02,11:33,150110.0,MOISSON,1.0,"2,00 €",False
288,2021*01*02,11:33,150110.0,GAL FRANGIPANE 6P,1.0,"12,00 €",False
291,2021*01*02,11:34,150111.0,TRADITIONAL BAGUETTE,1.0,"1,20 €",False
294,2021*01*02,11:34,150112.0,BAGUETTE,2.0,"0,90 €",False
295,2021*01*02,11:34,150112.0,GAL POMME 6P,1.0,"12,00 €",False
296,2021*01*02,11:34,150112.0,BANETTE,1.0,"1,05 €",False
299,2021*01*02,11:44,150113.0,DIVERS VIENNOISERIE,1.0,"4,00 €",False
300,2021*01*02,11:44,150113.0,SAND JB EMMENTAL,5.0,"3,50 €",False
303,2021*01*02,11:45,150114.0,TRADITIONAL BAGUETTE,1.0,"1,20 €",False
306,2021*01*02,11:45,150115.0,BANETTE,2.0,"1,05 €",False
309,2021*01*02,11:45,150116.0,BAGUETTE,4.0,"0,90 €",False
312,2021*01*02,11:46,150117.0,SPECIAL BREAD,1.0,"2,40 €",False
313,2021*01*02,11:46,150117.0,BAGUETTE,1.0,"0,90 €",False
316,2021*01*02,11:46,150118.0,TRADITIONAL BAGUETTE,3.0,"1,20 €",False
319,2021*01*02,11:48,150119.0,BOULE 400G,2.0,"1,50 €",False
320,2021*01*02,11:48,150119.0,PAIN AUX RAISINS,2.0,"1,40 €",False
321,2021*01*02,11:48,150119.0,CROISSANT,2.0,"1,10 €",False
322,2021*01*02,11:48,150119.0,COUPE,2.0,"0,15 €",False
323,2021*01*02,11:48,150119.0,GAL POMME 4P,1.0,"8,00 €",False
326,2021*01*02,11:49,150120.0,TRADITIONAL BAGUETTE,5.0,"1,20 €",False
329,2021*01*02,11:49,150121.0,BANETTE,2.0,"1,05 €",False
332,2021*01*02,11:50,150122.0,VIK BREAD,1.0,"2,50 €",False
333,2021*01*02,11:50,150122.0,GACHE,1.0,"5,00 €",False
334,2021*01*02,11:50,150122.0,TRADITIONAL BAGUETTE,1.0,"1,20 €",False
335,2021*01*02,11:50,150122.0,SEIGLE,1.0,"1,80 €",False
338,2021*01*02,11:51,150123.0,GAL FRANGIPANE 6P,1.0,"12,00 €",False
341,2021*01*02,11:51,150124.0,BAGUETTE,1.0,"0,90 €",False
344,2021*01*02,11:52,150125.0,COMPLET,2.0,"1,50 €",False
345,2021*01*02,11:52,150125.0,COUPE,2.0,"0,15 €",False
348,2021*01*02,11:53,150126.0,BANETTE,1.0,"1,05 €",False
351,2021*01*02,11:53,150127.0,TRADITIONAL BAGUETTE,1.0,"1,20 €",False
354,2021*01*02,11:54,150128.0,BAGUETTE,1.0,"0,90 €",False
357,2021*01*02,11:58,150129.0,BANETTE,2.0,"1,05 €",False
360,2021*01*02,11:59,150130.0,BANETTE,1.0,"1,05 €",False
363,2021*01*02,12:00,150131.0,TRADITIONAL BAGUETTE,1.0,"1,20 €",False
366,2021*01*02,12:01,150132.0,PAIN AU CHOCOLAT,4.0,"1,20 €",False
367,2021*01*02,12:01,150132.0,TRADITIONAL BAGUETTE,1.0,"1,20 €",False
370,2021*01*02,12:03,150133.0,COUPE,1.0,"0,15 €",False
371,2021*01*02,12:03,150133.0,BANETTINE,1.0,"0,60 €",False
372,2021*01*02,12:03,150133.0,MOISSON,1.0,"2,00 €",False
375,2021*01*02,12:03,150134.0,BANETTE,1.0,"1,05 €",False
378,2021*01*02,12:08,150135.0,SANDWICH COMPLET,2.0,"4,50 €",False
379,2021*01*02,12:08,150135.0,CAFE OU EAU,3.0,"1,00 €",False
382,2021*01*02,12:09,150136.0,PAIN BANETTE,2.0,"1,40 €",False
385,2021*01*02,12:09,150137.0,TRADITIONAL BAGUETTE,2.0,"1,20 €",False
388,2021*01*02,12:10,150138.0,GAL FRANGIPANE 4P,1.0,"8,00 €",False
389,2021*01*02,12:10,150138.0,TRADITIONAL BAGUETTE,1.0,"1,20 €",False
392,2021*01*02,12:11,150139.0,BANETTE,2.0,"1,05 €",False
393,2021*01*02,12:11,150139.0,GRAND FAR BRETON,1.0,"7,00 €",False
396,2021*01*02,12:12,150140.0,COUPE,1.0,"0,15 €",False
397,2021*01*02,12:12,150140.0,TRADITIONAL BAGUETTE,1.0,"1,20 €",False
398,2021*01*02,12:12,150140.0,CAMPAGNE,1.0,"1,80 €",False
401,2021*01*02,12:12,150141.0,BAGUETTE,1.0,"0,90 €",False
404,2021*01*02,12:13,150142.0,BAGUETTE,1.0,"0,90 €",False
407,2021*01*02,12:13,150143.0,GRAND FAR BRETON,1.0,"7,00 €",False
410,2021*01*02,12:15,150144.0,SPECIAL BREAD,1.0,"2,40 €",False
411,2021*01*02,12:15,150144.0,COUPE,1.0,"0,15 €",False
414,2021*01*02,12:16,150145.0,TRADITIONAL BAGUETTE,3.0,"1,20 €",False
417,2021*01*02,12:18,150146.0,COUPE,1.0,"0,15 €",False
418,2021*01*02,12:18,150146.0,BOULE 400G,1.0,"1,50 €",False
421,2021*01*02,12:19,150147.0,GAL FRANGIPANE 4P,2.0,"8,00 €",False
422,2021*01*02,12:19,150147.0,TRADITIONAL BAGUETTE,4.0,"1,20 €",False
425,2021*01*02,12:20,150148.0,TRADITIONAL BAGUETTE,1.0,"1,20 €",False
426,2021*01*02,12:20,150148.0,BAGUETTE,2.0,"0,90 €",False
429,2021*01*02,12:21,150149.0,TRADITIONAL BAGUETTE,1.0,"1,20 €",False
432,2021*01*02,12:21,150150.0,BAGUETTE,1.0,"0,90 €",False
435,2021*01*02,12:21,150151.0,BAGUETTE,4.0,"0,90 €",False
438,2021*01*02,12:22,150152.0,BAGUETTE,2.0,"0,90 €",False
441,2021*01*02,12:22,150153.0,COMPLET,1.0,"1,50 €",False
442,2021*01*02,12:22,150153.0,COUPE,1.0,"0,15 €",False
445,2021*01*02,12:23,150154.0,COMPLET,1.0,"1,50 €",False
446,2021*01*02,12:23,150154.0,TRADITIONAL BAGUETTE,1.0,"1,20 €",False
447,2021*01*02,12:23,150154.0,TRADITIONAL BAGUETTE,1.0,"1,20 €",False
450,2021*01*02,12:23,150155.0,BAGUETTE,1.0,"0,90 €",False
451,2021*01*02,12:23,150155.0,GRAND FAR BRETON,1.0,"7,00 €",False
454,2021*01*02,12:24,150156.0,TRADITIONAL BAGUETTE,2.0,"1,20 €",False
457,2021*01*02,12:25,150157.0,PAIN AU CHOCOLAT,1.0,"1,20 €",False
460,2021*01*02,12:25,150158.0,BAGUETTE,2.0,"0,90 €",False
461,2021*01*02,12:25,150158.0,PAIN AU CHOCOLAT,2.0,"1,20 €",False
464,2021*01*02,12:28,150159.0,COUPE,1.0,"0,15 €",False
465,2021*01*02,12:28,150159.0,GAL FRANGIPANE 4P,1.0,"8,00 €",False
466,2021*01*02,12:28,150159.0,MOISSON,1.0,"2,00 €",False
467,2021*01*02,12:28,150159.0,COUPE,1.0,"0,15 €",False
468,2021*01*02,12:28,150159.0,TRADITIONAL BAGUETTE,4.0,"1,20 €",False
469,2021*01*02,12:28,150159.0,FICELLE,2.0,"0,60 €",False
472,2021*01*02,12:29,150160.0,CEREAL BAGUETTE,1.0,"1,25 €",False
475,2021*01*02,12:29,150161.0,TRADITIONAL BAGUETTE,1.0,"1,20 €",False
478,2021*01*02,12:32,150162.0,COUPE,5.0,"0,15 €",False
479,2021*01*02,12:32,150162.0,GAL FRANGIPANE 4P,1.0,"8,00 €",False
480,2021*01*02,12:32,150162.0,MOISSON,3.0,"2,00 €",False
481,2021*01*02,12:32,150162.0,VIK BREAD,2.0,"2,50 €",False
482,2021*01*02,12:32,150162.0,PAIN AUX RAISINS,2.0,"1,40 €",False
485,2021*01*02,12:33,150163.0,BOULE 400G,1.0,"1,50 €",False
486,2021*01*02,12:33,150163.0,COUPE,1.0,"0,15 €",False
489,2021*01*02,12:34,150164.0,DIVERS VIENNOISERIE,1.0,"6,00 €",False
490,2021*01*02,12:34,150164.0,BAGUETTE,1.0,"0,90 €",False
491,2021*01*02,12:34,150164.0,GAL POMME 6P,1.0,"12,00 €",False
494,2021*01*02,12:36,150165.0,GAL FRANGIPANE 4P,1.0,"8,00 €",False
495,2021*01*02,12:36,150165.0,QUIM BREAD,1.0,"1,00 €",False
496,2021*01*02,12:36,150165.0,COOKIE,2.0,"1,00 €",False
497,2021*01*02,12:36,150165.0,BANETTE,2.0,"1,05 €",False
500,2021*01*02,12:36,150166.0,BANETTE,1.0,"1,05 €",False
503,2021*01*02,12:37,150167.0,COUPE,1.0,"0,15 €",False
504,2021*01*02,12:37,150167.0,SPECIAL BREAD KG,1.0,"4,80 €",False
507,2021*01*02,12:38,150168.0,TRADITIONAL BAGUETTE,2.0,"1,20 €",False
510,2021*01*02,12:38,150169.0,TRADITIONAL BAGUETTE,2.0,"1,20 €",False
513,2021*01*02,12:39,150170.0,TRADITIONAL BAGUETTE,1.0,"1,20 €",False
516,2021*01*02,12:39,150171.0,BANETTE,2.0,"1,05 €",False
519,2021*01*02,12:39,150172.0,TRADITIONAL BAGUETTE,2.0,"1,20 €",False
522,2021*01*02,12:40,150173.0,BOULE 400G,1.0,"1,50 €",False
523,2021*01*02,12:40,150173.0,GD KOUIGN AMANN,1.0,"7,50 €",False
524,2021*01*02,12:40,150173.0,TRADITIONAL BAGUETTE,1.0,"1,20 €",False
525,2021*01*02,12:40,150173.0,CEREAL BAGUETTE,1.0,"1,25 €",False
526,2021*01*02,12:40,150173.0,BOULE POLKA,1.0,"1,60 €",False
529,2021*01*02,12:41,150174.0,TRADITIONAL BAGUETTE,3.0,"1,20 €",False
532,2021*01*02,12:42,150175.0,COOKIE,1.0,"1,00 €",False
533,2021*01*02,12:42,150175.0,KOUIGN AMANN,1.0,"2,10 €",False
536,2021*01*02,12:42,150176.0,TRADITIONAL BAGUETTE,2.0,"1,20 €",False
539,2021*01*02,12:43,150177.0,COUPE,1.0,"0,15 €",False
540,2021*01*02,12:43,150177.0,MOISSON,1.0,"2,00 €",False
541,2021*01*02,12:43,150177.0,CEREAL BAGUETTE,1.0,"1,25 €",False
544,2021*01*02,12:43,150178.0,BANETTE,1.0,"1,05 €",False
547,2021*01*02,12:44,150179.0,GAL FRANGIPANE 4P,1.0,"8,00 €",False
548,2021*01*02,12:44,150179.0,BANETTE,2.0,"1,05 €",False
551,2021*01*02,12:45,150180.0,TRADITIONAL BAGUETTE,1.0,"1,20 €",False
554,2021*01*02,12:45,150181.0,BAGUETTE,1.0,"0,90 €",False
557,2021*01*02,12:46,150182.0,PAIN,1.0,"1,15 €",False
558,2021*01*02,12:46,150182.0,PAIN BANETTE,1.0,"1,40 €",False
561,2021*01*02,12:47,150183.0,BANETTE,1.0,"1,05 €",False
564,2021*01*02,12:48,150184.0,COUPE,1.0,"0,15 €",False
565,2021*01*02,12:48,150184.0,VIK BREAD,1.0,"2,50 €",False
566,2021*01*02,12:48,150184.0,GAL POMME 4P,1.0,"8,00 €",False
569,2021*01*02,12:50,150185.0,GAL POMME 4P,1.0,"8,00 €",False
570,2021*01*02,12:50,150185.0,BANETTE,2.0,"1,05 €",False
573,2021*01*02,12:50,150186.0,TRADITIONAL BAGUETTE,2.0,"1,20 €",False
576,2021*01*02,12:51,150187.0,GAL POMME 4P,1.0,"8,00 €",False
577,2021*01*02,12:51,150187.0,CEREAL BAGUETTE,6.0,"1,25 €",False
580,2021*01*02,12:53,150188.0,GAL POMME 6P,1.0,"12,00 €",False
581,2021*01*02,12:53,150188.0,GAL FRANGIPANE 6P,1.0,"12,00 €",False
584,2021*01*02,12:54,150189.0,PAIN BANETTE,1.0,"1,40 €",False
585,2021*01*02,12:54,150189.0,BANETTE,1.0,"1,05 €",False
586,2021*01*02,12:54,150189.0,CROISSANT,3.0,"1,10 €",False
587,2021*01*02,12:54,150189.0,PAIN AU CHOCOLAT,3.0,"1,20 €",False
590,2021*01*02,12:55,150190.0,GAL POMME 4P,1.0,"8,00 €",False
591,2021*01*02,12:55,150190.0,BAGUETTE,2.0,"0,90 €",False
594,2021*01*02,12:55,150191.0,BAGUETTE,1.0,"0,90 €",False
595,2021*01*02,12:55,150191.0,TRADITIONAL BAGUETTE,1.0,"1,20 €",False
596,2021*01*02,12:55,150191.0,BANETTE,1.0,"1,05 €",False
599,2021*01*02,12:56,150192.0,BOULE POLKA,1.0,"1,60 €",False
602,2021*01*02,12:57,150193.0,VIK BREAD,1.0,"2,50 €",False
603,2021*01*02,12:57,150193.0,COUPE,1.0,"0,15 €",False
604,2021*01*02,12:57,150193.0,CEREAL BAGUETTE,1.0,"1,25 €",False
607,2021*01*02,12:58,150194.0,GRAND FAR BRETON,1.0,"7,00 €",False
608,2021*01*02,12:58,150194.0,BAGUETTE,1.0,"0,90 €",False
611,2021*01*02,12:58,150195.0,CEREAL BAGUETTE,2.0,"1,25 €",False
614,2021*01*02,12:59,150196.0,GAL POMME 4P,1.0,"8,00 €",False
615,2021*01*02,12:59,150196.0,CAMPAGNE,1.0,"1,80 €",False
618,2021*01*02,13:00,150197.0,BAGUETTE,2.0,"0,90 €",False
621,2021*01*02,13:01,150198.0,BAGUETTE,2.0,"0,90 €",False
624,2021*01*02,13:03,150199.0,BOULE 400G,1.0,"1,50 €",False
625,2021*01*02,13:03,150199.0,KOUIGN AMANN,2.0,"2,10 €",False
626,2021*01*02,13:03,150199.0,COUPE,1.0,"0,15 €",False
629,2021*01*02,13:05,150200.0,COUPE,1.0,"0,15 €",False
630,2021*01*02,13:05,150200.0,COMPLET,1.0,"1,50 €",False
633,2021*01*02,13:06,150201.0,PAIN BANETTE,2.0,"1,40 €",False
636,2021*01*02,13:07,150202.0,COUPE,1.0,"0,15 €",False
637,2021*01*02,13:07,150202.0,FICELLE,1.0,"0,60 €",False
638,2021*01*02,13:07,150202.0,BANETTINE,1.0,"0,60 €",False
639,2021*01*02,13:07,150202.0,VIK BREAD,1.0,"2,50 €",False
642,2021*01*02,13:09,150203.0,BOULE 200G,1.0,"1,10 €",False
643,2021*01*02,13:09,150203.0,COUPE,1.0,"0,15 €",False
646,2021*01*02,13:10,150204.0,GRAND FAR BRETON,2.0,"7,00 €",False
649,2021*01*02,13:14,150205.0,CAMPAGNE,1.0,"1,80 €",False
650,2021*01*02,13:14,150205.0,COUPE,1.0,"0,15 €",False
653,2021*01*02,13:17,150206.0,COUPE,1.0,"0,15 €",False
654,2021*01*02,13:17,150206.0,MOISSON,1.0,"2,00 €",False
655,2021*01*02,13:17,150206.0,COUPE,1.0,"0,15 €",False
656,2021*01*02,13:17,150206.0,CAMPAGNE,1.0,"1,80 €",False
657,2021*01*02,13:17,150206.0,GD KOUIGN AMANN,1.0,"7,50 €",False
660,2021*01*02,13:19,150207.0,COUPE,1.0,"0,15 €",False
661,2021*01*02,13:19,150207.0,BOULE 200G,1.0,"1,10 €",False
664,2021*01*02,13:19,150208.0,BOULE 200G,1.0,"1,10 €",False
665,2021*01*02,13:19,150208.0,COUPE,1.0,"0,15 €",False
668,2021*01*02,13:21,150209.0,COUPE,1.0,"0,15 €",False
669,2021*01*02,13:21,150209.0,BOULE 400G,1.0,"1,50 €",False
672,2021*01*02,13:22,150210.0,COUPE,1.0,"0,15 €",False
673,2021*01*02,13:22,150210.0,CAMPAGNE,1.0,"1,80 €",False
676,2021*01*02,13:24,150211.0,GAL POMME 4P,1.0,"8,00 €",False
677,2021*01*02,13:24,150211.0,CAMPAGNE,1.0,"1,80 €",False
678,2021*01*02,13:24,150211.0,COUPE,1.0,"0,15 €",False
681,2021*01*02,13:25,150212.0,MOISSON,1.0,"2,00 €",False
682,2021*01*02,13:25,150212.0,COUPE,1.0,"0,15 €",False
