,date,time,ticket_number,article,quantity,unit_price_euro,retour,day,subtotal,time_slot
46759,2021-06-01,08:42:00,177634,CEREAL BAGUETTE,2,1.25,False,Tuesday,2.5,morning
46760,2021-06-01,08:42:00,177634,CROISSANT,3,1.1,False,Tuesday,3.3000000000000003,morning
46761,2021-06-01,08:42:00,177634,PAIN AU CHOCOLAT,1,1.2,False,Tuesday,1.2,morning
46762,2021-06-01,08:43:00,177635,BANETTE,2,1.05,False,Tuesday,2.1,morning
46763,2021-06-01,08:44:00,177636,BOISSON 33CL,2,1.5,False,Tuesday,3.0,morning
46764,2021-06-01,08:44:00,177636,PAIN AU CHOCOLAT,2,1.2,False,Tuesday,2.4,morning
46765,2021-06-01,08:51:00,177637,CROISSANT,1,1.1,False,Tuesday,1.1,morning
46766,2021-06-01,08:51:00,177637,TRADITIONAL BAGUETTE,1,1.2,False,Tuesday,1.2,morning
46767,2021-06-01,08:52:00,177638,SPECIAL BREAD,1,2.4,False,Tuesday,2.4,morning
46768,2021-06-01,08:52:00,177638,COUPE,1,0.15,False,Tuesday,0.15,morning
46769,2021-06-01,08:52:00,177639,BANETTINE,1,0.6,False,Tuesday,0.6,morning
46770,2021-06-01,08:53:00,177640,BANETTE,2,1.05,False,Tuesday,2.1,morning
46771,2021-06-01,08:55:00,177641,PAIN,1,1.15,False,Tuesday,1.15,morning
46772,2021-06-01,08:57:00,177642,BANETTE,1,1.05,False,Tuesday,1.05,morning
46773,2021-06-01,08:59:00,177643,GD KOUIGN AMANN,1,7.5,False,Tuesday,7.5,morning
46774,2021-06-01,08:59:00,177643,TRADITIONAL BAGUETTE,4,1.2,False,Tuesday,4.8,morning
46775,2021-06-01,09:01:00,177644,TRADITIONAL BAGUETTE,2,1.2,False,Tuesday,2.4,morning
46776,2021-06-01,09:10:00,177645,BOULE 400G,2,1.5,False,Tuesday,3.0,morning
46777,2021-06-01,09:11:00,177646,TRADITIONAL BAGUETTE,2,1.2,False,Tuesday,2.4,morning
46778,2021-06-01,09:15:00,177647,PAIN BANETTE,1,1.4,False,Tuesday,1.4,morning
46779,2021-06-01,09:22:00,177648,TRADITIONAL BAGUETTE,1,1.2,False,Tuesday,1.2,morning
46780,2021-06-01,09:25:00,177649,BANETTE,2,1.05,False,Tuesday,2.1,morning
46781,2021-06-01,09:25:00,177650,BAGUETTE,1,0.9,False,Tuesday,0.9,morning
46782,2021-06-01,09:30:00,177651,DIVERS SANDWICHS,1,2.5,False,Tuesday,2.5,morning
46783,2021-06-01,09:30:00,177651,SANDWICH COMPLET,1,4.5,False,Tuesday,4.5,morning
46784,2021-06-01,09:30:00,177651,FLAN,2,2.0,False,Tuesday,4.0,morning
46785,2021-06-01,09:30:00,177652,COUPE,1,0.15,False,Tuesday,0.15,morning
46786,2021-06-01,09:30:00,177652,SPECIAL BREAD,1,2.4,False,Tuesday,2.4,morning
46787,2021-06-01,09:30:00,177652,DIVERS VIENNOISERIE,1,11.0,False,Tuesday,11.0,morning
46788,2021-06-01,09:32:00,177653,PAIN AU CHOCOLAT,1,1.2,False,Tuesday,1.2,morning
46789,2021-06-01,09:32:00,177653,CROISSANT,1,1.1,False,Tuesday,1.1,morning
46790,2021-06-01,09:32:00,177654,TRADITIONAL BAGUETTE,2,1.2,False,Tuesday,2.4,morning
46791,2021-06-01,09:33:00,177655,BANETTE,1,1.05,False,Tuesday,1.05,morning
46792,2021-06-01,09:36:00,177656,TRADITIONAL BAGUETTE,1,1.2,False,Tuesday,1.2,morning
46793,2021-06-01,09:36:00,177656,BAGUETTE,1,0.9,False,Tuesday,0.9,morning
46794,2021-06-01,09:36:00,177656,PAIN AUX RAISINS,1,1.4,False,Tuesday,1.4,morning
46795,2021-06-01,09:36:00,177657,BANETTE,1,1.05,False,Tuesday,1.05,morning
46796,2021-06-01,09:36:00,177657,SACHET DE CROUTON,1,1.6,False,Tuesday,1.6,morning
46797,2021-06-01,09:38:00,177658,TRADITIONAL BAGUETTE,2,1.2,False,Tuesday,2.4,morning
46798,2021-06-01,09:49:00,177659,TRADITIONAL BAGUETTE,1,1.2,False,Tuesday,1.2,morning
46799,2021-06-01,09:49:00,177659,CROISSANT,2,1.1,False,Tuesday,2.2,morning
46800,2021-06-01,09:54:00,177660,BANETTE,3,1.05,False,Tuesday,3.1500000000000004,morning
46801,2021-06-01,09:54:00,177660,COUPE,1,0.15,False,Tuesday,0.15,morning
46802,2021-06-01,09:54:00,177660,BOULE 400G,1,1.5,False,Tuesday,1.5,morning
46803,2021-06-01,09:54:00,177660,SACHET VIENNOISERIE,1,4.0,False,Tuesday,4.0,morning
46804,2021-06-01,09:54:00,177661,CROISSANT,2,1.1,False,Tuesday,2.2,morning
46805,2021-06-01,09:54:00,177661,TRADITIONAL BAGUETTE,2,1.2,False,Tuesday,2.4,morning
46806,2021-06-01,09:59:00,177662,BAGUETTE,1,0.9,False,Tuesday,0.9,morning
46807,2021-06-01,10:00:00,177663,COUPE,1,0.15,False,Tuesday,0.15,late morning - noon
46808,2021-06-01,10:00:00,177663,SEIGLE,1,1.8,False,Tuesday,1.8,late morning - noon
46809,2021-06-01,10:00:00,177663,TRADITIONAL BAGUETTE,1,1.2,False,Tuesday,1.2,late morning - noon
46810,2021-06-01,10:02:00,177664,PAIN BANETTE,1,1.4,False,Tuesday,1.4,late morning - noon
46811,2021-06-01,10:03:00,177665,COUPE,1,0.15,False,Tuesday,0.15,late morning - noon
46812,2021-06-01,10:03:00,177665,SPECIAL BREAD,1,2.4,False,Tuesday,2.4,late morning - noon
46813,2021-06-01,10:03:00,177665,CROISSANT,2,1.1,False,Tuesday,2.2,late morning - noon
46814,2021-06-01,10:05:00,177666,CROISSANT AMANDES,1,1.4,False,Tuesday,1.4,late morning - noon
46815,2021-06-01,10:05:00,177666,KOUIGN AMANN,1,2.1,False,Tuesday,2.1,late morning - noon
46816,2021-06-01,10:07:00,177667,BOULE 400G,1,1.5,False,Tuesday,1.5,late morning - noon
46817,2021-06-01,10:07:00,177667,COUPE,1,0.15,False,Tuesday,0.15,late morning - noon
46818,2021-06-01,10:10:00,177668,TRADITIONAL BAGUETTE,1,1.2,False,Tuesday,1.2,late morning - noon
46819,2021-06-01,10:10:00,177668,SAND JB EMMENTAL,1,3.5,False,Tuesday,3.5,late morning - noon
46820,2021-06-01,10:12:00,177669,BAGUETTE,2,0.9,False,Tuesday,1.8,late morning - noon
46821,2021-06-01,10:15:00,177670,TRADITIONAL BAGUETTE,1,1.2,False,Tuesday,1.2,late morning - noon
46822,2021-06-01,10:16:00,177671,TRADITIONAL BAGUETTE,10,1.2,False,Tuesday,12.0,late morning - noon
46823,2021-06-01,10:17:00,177672,BOULE 200G,1,1.1,False,Tuesday,1.1,late morning - noon
46824,2021-06-01,10:17:00,177672,BRIOCHE,1,5.0,False,Tuesday,5.0,late morning - noon
46825,2021-06-01,10:17:00,177672,COUPE,1,0.15,False,Tuesday,0.15,late morning - noon
46826,2021-06-01,10:19:00,177673,SPECIAL BREAD,1,2.4,False,Tuesday,2.4,late morning - noon
46827,2021-06-01,10:20:00,177674,COUPE,1,0.15,False,Tuesday,0.15,late morning - noon
46828,2021-06-01,10:20:00,177674,SPECIAL BREAD,1,2.4,False,Tuesday,2.4,late morning - noon
46829,2021-06-01,10:20:00,177674,TRADITIONAL BAGUETTE,3,1.2,False,Tuesday,3.5999999999999996,late morning - noon
46830,2021-06-01,10:21:00,177675,PAIN BANETTE,1,1.4,False,Tuesday,1.4,late morning - noon
46831,2021-06-01,10:21:00,177676,BOISSON 33CL,1,1.5,False,Tuesday,1.5,late morning - noon
46832,2021-06-01,10:21:00,177676,SAND JB EMMENTAL,1,3.5,False,Tuesday,3.5,late morning - noon
46833,2021-06-01,10:22:00,177677,TRADITIONAL BAGUETTE,2,1.2,False,Tuesday,2.4,late morning - noon
46834,2021-06-01,10:23:00,177678,BOULE 400G,2,1.5,False,Tuesday,3.0,late morning - noon
46835,2021-06-01,10:23:00,177678,COUPE,2,0.15,False,Tuesday,0.3,late morning - noon
46836,2021-06-01,10:23:00,177678,BAGUETTE,1,0.9,False,Tuesday,0.9,late morning - noon
46837,2021-06-01,10:23:00,177679,CEREAL BAGUETTE,1,1.25,False,Tuesday,1.25,late morning - noon
46838,2021-06-01,10:25:00,177680,TRADITIONAL BAGUETTE,1,1.2,False,Tuesday,1.2,late morning - noon
46839,2021-06-01,10:26:00,177681,BANETTINE,1,0.6,False,Tuesday,0.6,late morning - noon
46840,2021-06-01,10:26:00,177681,FICELLE,1,0.6,False,Tuesday,0.6,late morning - noon
46841,2021-06-01,10:32:00,177682,TRADITIONAL BAGUETTE,1,1.2,False,Tuesday,1.2,late morning - noon
46842,2021-06-01,10:32:00,177683,BAGUETTE,1,0.9,False,Tuesday,0.9,late morning - noon
46843,2021-06-01,10:35:00,177684,MOISSON,1,2.0,False,Tuesday,2.0,late morning - noon
46844,2021-06-01,10:35:00,177684,FONDANT CHOCOLAT,3,2.5,False,Tuesday,7.5,late morning - noon
46845,2021-06-01,10:35:00,177684,BANETTE,1,1.05,False,Tuesday,1.05,late morning - noon
46846,2021-06-01,10:35:00,177684,COUPE,1,0.15,False,Tuesday,0.15,late morning - noon
46847,2021-06-01,10:36:00,177685,COMPLET,2,1.5,False,Tuesday,3.0,late morning - noon
46848,2021-06-01,10:36:00,177685,TRADITIONAL BAGUETTE,1,1.2,False,Tuesday,1.2,late morning - noon
46849,2021-06-01,10:36:00,177685,COUPE,2,0.15,False,Tuesday,0.3,late morning - noon
46850,2021-06-01,10:36:00,177686,BANETTE,1,1.05,False,Tuesday,1.05,late morning - noon
46851,2021-06-01,10:37:00,177687,BANETTE,1,1.05,False,Tuesday,1.05,late morning - noon
46852,2021-06-01,10:38:00,177688,PAIN AU CHOCOLAT,1,1.2,False,Tuesday,1.2,late morning - noon
46853,2021-06-01,10:38:00,177688,PAIN AUX RAISINS,1,1.4,False,Tuesday,1.4,late morning - noon
46854,2021-06-01,10:38:00,177688,TRADITIONAL BAGUETTE,1,1.2,False,Tuesday,1.2,late morning - noon
46855,2021-06-01,10:46:00,177689,TRADITIONAL BAGUETTE,2,1.2,False,Tuesday,2.4,late morning - noon
46856,2021-06-01,10:47:00,177690,BAGUETTE,1,0.9,False,Tuesday,0.9,late morning - noon
46857,2021-06-01,10:47:00,177691,BAGUETTE,1,0.9,False,Tuesday,0.9,late morning - noon
46858,2021-06-01,10:51:00,177692,BAGUETTE,1,0.9,False,Tuesday,0.9,late morning - noon
46859,2021-06-01,10:51:00,177692,BANETTE,1,1.05,False,Tuesday,1.05,late morning - noon
46860,2021-06-01,10:54:00,177693,BAGUETTE,4,0.9,False,Tuesday,3.6,late morning - noon
46861,2021-06-01,10:57:00,177694,TRADITIONAL BAGUETTE,8,1.2,False,Tuesday,9.6,late morning - noon
46862,2021-06-01,10:57:00,177694,SACHET VIENNOISERIE,1,4.0,False,Tuesday,4.0,late morning - noon
46863,2021-06-01,10:57:00,177694,PAIN AU CHOCOLAT,1,1.2,False,Tuesday,1.2,late morning - noon
46864,2021-06-01,10:58:00,177695,SPECIAL BREAD,1,2.4,False,Tuesday,2.4,late morning - noon
46865,2021-06-01,10:58:00,177695,TRADITIONAL BAGUETTE,3,1.2,False,Tuesday,3.5999999999999996,late morning - noon
46866,2021-06-01,10:59:00,177696,TRADITIONAL BAGUETTE,1,1.2,False,Tuesday,1.2,late morning - noon
46867,2021-06-01,11:01:00,177697,BANETTINE,1,0.6,False,Tuesday,0.6,late morning - noon
46868,2021-06-01,11:03:00,177698,BOULE POLKA,1,1.6,False,Tuesday,1.6,late morning - noon
46869,2021-06-01,11:07:00,177699,COUPE,1,0.15,False,Tuesday,0.15,late morning - noon
46870,2021-06-01,11:07:00,177699,SPECIAL BREAD,1,2.4,False,Tuesday,2.4,late morning - noon
46871,2021-06-01,11:07:00,177699,CROISSANT AMANDES,1,1.4,False,Tuesday,1.4,late morning - noon
46872,2021-06-01,11:07:00,177700,BANETTE,2,1.05,False,Tuesday,2.1,late morning - noon
46873,2021-06-01,11:09:00,177701,BANETTE,1,1.05,False,Tuesday,1.05,late morning - noon
46874,2021-06-01,11:09:00,177701,SANDWICH COMPLET,1,4.5,False,Tuesday,4.5,late morning - noon
46875,2021-06-01,11:10:00,177702,COUPE,1,0.15,False,Tuesday,0.15,late morning - noon
46876,2021-06-01,11:10:00,177702,BOULE 400G,1,1.5,False,Tuesday,1.5,late morning - noon
46877,2021-06-01,11:10:00,177702,ECLAIR,1,2.0,False,Tuesday,2.0,late morning - noon
46878,2021-06-01,11:10:00,177703,BAGUETTE,1,0.9,False,Tuesday,0.9,late morning - noon
46879,2021-06-01,11:13:00,177704,TRADITIONAL BAGUETTE,1,1.2,False,Tuesday,1.2,late morning - noon
46880,2021-06-01,11:13:00,177705,CEREAL BAGUETTE,1,1.25,False,Tuesday,1.25,late morning - noon
46881,2021-06-01,11:19:00,177706,BANETTE,1,1.05,False,Tuesday,1.05,late morning - noon
46882,2021-06-01,11:20:00,177707,DIVERS SANDWICHS,1,10.0,False,Tuesday,10.0,late morning - noon
46883,2021-06-01,11:20:00,177707,DIVERS BOISSONS,1,2.0,False,Tuesday,2.0,late morning - noon
46884,2021-06-01,11:21:00,177708,TRADITIONAL BAGUETTE,1,1.2,False,Tuesday,1.2,late morning - noon
46885,2021-06-01,11:21:00,177708,TARTELETTE,2,2.0,False,Tuesday,4.0,late morning - noon
46886,2021-06-01,11:21:00,177709,BAGUETTE,1,0.9,False,Tuesday,0.9,late morning - noon
46887,2021-06-01,11:27:00,177710,TRADITIONAL BAGUETTE,1,1.2,False,Tuesday,1.2,late morning - noon
46888,2021-06-01,11:28:00,177711,BAGUETTE,1,0.9,False,Tuesday,0.9,late morning - noon
46889,2021-06-01,11:28:00,177711,TRADITIONAL BAGUETTE,1,1.2,False,Tuesday,1.2,late morning - noon
46890,2021-06-01,11:29:00,177712,TRADITIONAL BAGUETTE,1,1.2,False,Tuesday,1.2,late morning - noon
46891,2021-06-01,11:33:00,177713,COUPE,1,0.15,False,Tuesday,0.15,late morning - noon
46892,2021-06-01,11:33:00,177713,SPECIAL BREAD,1,2.4,False,Tuesday,2.4,late morning - noon
46893,2021-06-01,11:34:00,177714,MILLES FEUILLES,1,2.0,False,Tuesday,2.0,late morning - noon
46894,2021-06-01,11:34:00,177714,GRAND FAR BRETON,1,7.0,False,Tuesday,7.0,late morning - noon
46895,2021-06-01,11:36:00,177715,CAMPAGNE,1,1.8,False,Tuesday,1.8,late morning - noon
46896,2021-06-01,11:36:00,177715,COUPE,1,0.15,False,Tuesday,0.15,late morning - noon
46897,2021-06-01,11:37:00,177716,BANETTE,1,1.05,False,Tuesday,1.05,late morning - noon
46898,2021-06-01,11:38:00,177717,BANETTE,1,1.05,False,Tuesday,1.05,late morning - noon
46899,2021-06-01,11:40:00,177718,PAIN AUX RAISINS,1,1.4,False,Tuesday,1.4,late morning - noon
46900,2021-06-01,11:40:00,177718,TRADITIONAL BAGUETTE,2,1.2,False,Tuesday,2.4,late morning - noon
46901,2021-06-01,11:41:00,177719,BANETTE,1,1.05,False,Tuesday,1.05,late morning - noon
46902,2021-06-01,11:49:00,177720,TRADITIONAL BAGUETTE,2,1.2,False,Tuesday,2.4,late morning - noon
46903,2021-06-01,11:50:00,177721,SPECIAL BREAD KG,1,4.8,False,Tuesday,4.8,late morning - noon
46904,2021-06-01,11:50:00,177721,TRADITIONAL BAGUETTE,2,1.2,False,Tuesday,2.4,late morning - noon
46905,2021-06-01,11:50:00,177721,COOKIE,1,1.0,False,Tuesday,1.0,late morning - noon
46906,2021-06-01,11:50:00,177722,TRADITIONAL BAGUETTE,1,1.2,False,Tuesday,1.2,late morning - noon
46907,2021-06-01,11:52:00,177723,SANDWICH COMPLET,1,4.5,False,Tuesday,4.5,late morning - noon
46908,2021-06-01,11:53:00,177724,TRADITIONAL BAGUETTE,1,1.2,False,Tuesday,1.2,late morning - noon
46909,2021-06-01,11:57:00,177725,TRADITIONAL BAGUETTE,1,1.2,False,Tuesday,1.2,late morning - noon
46910,2021-06-01,11:58:00,177726,FICELLE,1,0.6,False,Tuesday,0.6,late morning - noon
46911,2021-06-01,11:58:00,177727,FORMULE SANDWICH,1,6.5,False,Tuesday,6.5,late morning - noon
46912,2021-06-01,11:59:00,177728,TRADITIONAL BAGUETTE,1,1.2,False,Tuesday,1.2,late morning - noon
46913,2021-06-01,11:59:00,177729,TRADITIONAL BAGUETTE,1,1.2,False,Tuesday,1.2,late morning - noon
46914,2021-06-01,12:00:00,177730,TRADITIONAL BAGUETTE,2,1.2,False,Tuesday,2.4,late morning - noon
46915,2021-06-01,12:00:00,177731,PAIN BANETTE,1,1.4,False,Tuesday,1.4,late morning - noon
46916,2021-06-01,12:03:00,177732,BAGUETTE,1,0.9,False,Tuesday,0.9,late morning - noon
46917,2021-06-01,12:04:00,177733,COMPLET,1,1.5,False,Tuesday,1.5,late morning - noon
46918,2021-06-01,12:04:00,177733,COUPE,1,0.15,False,Tuesday,0.15,late morning - noon
46919,2021-06-01,12:04:00,177733,TRADITIONAL BAGUETTE,2,1.2,False,Tuesday,2.4,late morning - noon
46920,2021-06-01,12:04:00,177734,DIVERS SANDWICHS,1,2.5,False,Tuesday,2.5,late morning - noon
46921,2021-06-01,12:05:00,177735,CHAUSSON AUX POMMES,1,1.4,False,Tuesday,1.4,late morning - noon
46922,2021-06-01,12:05:00,177735,CEREAL BAGUETTE,1,1.25,False,Tuesday,1.25,late morning - noon
46923,2021-06-01,12:06:00,177736,TRADITIONAL BAGUETTE,1,1.2,False,Tuesday,1.2,late morning - noon
46924,2021-06-01,12:07:00,177737,TRADITIONAL BAGUETTE,1,1.2,False,Tuesday,1.2,late morning - noon
46925,2021-06-01,12:07:00,177738,BAGUETTE,1,0.9,False,Tuesday,0.9,late morning - noon
46926,2021-06-01,12:08:00,177739,TRADITIONAL BAGUETTE,2,1.2,False,Tuesday,2.4,late morning - noon
46927,2021-06-01,12:08:00,177740,BANETTE,1,1.05,False,Tuesday,1.05,late morning - noon
46928,2021-06-01,12:09:00,177741,TRADITIONAL BAGUETTE,1,1.2,False,Tuesday,1.2,late morning - noon
46929,2021-06-01,12:11:00,177742,PAIN BANETTE,1,1.4,False,Tuesday,1.4,late morning - noon
46930,2021-06-01,12:14:00,177743,TRADITIONAL BAGUETTE,1,1.2,False,Tuesday,1.2,late morning - noon
46931,2021-06-01,12:14:00,177743,NANTAIS,1,2.5,False,Tuesday,2.5,late morning - noon
46932,2021-06-01,12:15:00,177744,FORMULE SANDWICH,1,6.5,False,Tuesday,6.5,late morning - noon
46933,2021-06-01,12:15:00,177745,TRADITIONAL BAGUETTE,1,1.2,False,Tuesday,1.2,late morning - noon
46934,2021-06-01,12:17:00,177746,FORMULE SANDWICH,1,6.5,False,Tuesday,6.5,late morning - noon
46935,2021-06-01,12:18:00,177747,SANDWICH COMPLET,1,4.5,False,Tuesday,4.5,late morning - noon
46936,2021-06-01,12:18:00,177747,TRADITIONAL BAGUETTE,1,1.2,False,Tuesday,1.2,late morning - noon
46937,2021-06-01,12:20:00,177748,FORMULE SANDWICH,2,6.5,False,Tuesday,13.0,late morning - noon
46938,2021-06-01,12:20:00,177748,SAND JB EMMENTAL,1,3.5,False,Tuesday,3.5,late morning - noon
46939,2021-06-01,12:21:00,177749,BOISSON 33CL,2,1.5,False,Tuesday,3.0,late morning - noon
46940,2021-06-01,12:21:00,177750,SANDWICH COMPLET,1,4.5,False,Tuesday,4.5,late morning - noon
46941,2021-06-01,12:24:00,177751,FORMULE SANDWICH,4,6.5,False,Tuesday,26.0,late morning - noon
46942,2021-06-01,12:30:00,177752,DIVERS SANDWICHS,1,5.0,False,Tuesday,5.0,late morning - noon
46943,2021-06-01,12:31:00,177753,BANETTE,1,1.05,False,Tuesday,1.05,late morning - noon
46944,2021-06-01,12:33:00,177754,DIVERS SANDWICHS,1,2.5,False,Tuesday,2.5,late morning - noon
46945,2021-06-01,12:33:00,177754,TRADITIONAL BAGUETTE,2,1.2,False,Tuesday,2.4,late morning - noon
46946,2021-06-01,12:33:00,177754,COOKIE,1,1.0,False,Tuesday,1.0,late morning - noon
46947,2021-06-01,12:36:00,177755,BOISSON 33CL,3,1.5,False,Tuesday,4.5,late morning - noon
46948,2021-06-01,12:36:00,177755,DIVERS SANDWICHS,1,2.5,False,Tuesday,2.5,late morning - noon
46949,2021-06-01,12:36:00,177755,SANDWICH COMPLET,2,4.5,False,Tuesday,9.0,late morning - noon
46950,2021-06-01,12:39:00,177756,CROISSANT,2,1.1,False,Tuesday,2.2,late morning - noon
46951,2021-06-01,12:39:00,177756,TRADITIONAL BAGUETTE,1,1.2,False,Tuesday,1.2,late morning - noon
46952,2021-06-01,12:40:00,177757,FORMULE SANDWICH,1,6.5,False,Tuesday,6.5,late morning - noon
46953,2021-06-01,12:45:00,177758,DIVERS BOISSONS,1,2.0,False,Tuesday,2.0,late morning - noon
46954,2021-06-01,12:45:00,177758,FORMULE SANDWICH,2,6.5,False,Tuesday,13.0,late morning - noon
46955,2021-06-01,12:46:00,177759,FORMULE SANDWICH,1,6.5,False,Tuesday,6.5,late morning - noon
46956,2021-06-01,12:46:00,177759,DIVERS BOISSONS,1,2.0,False,Tuesday,2.0,late morning - noon
46957,2021-06-01,12:46:00,177760,TRADITIONAL BAGUETTE,1,1.2,False,Tuesday,1.2,late morning - noon
46958,2021-06-01,12:51:00,177761,FORMULE SANDWICH,1,6.5,False,Tuesday,6.5,late morning - noon
46959,2021-06-01,12:51:00,177762,FORMULE SANDWICH,1,6.5,False,Tuesday,6.5,late morning - noon
46960,2021-06-01,12:54:00,177763,FORMULE SANDWICH,1,6.5,False,Tuesday,6.5,late morning - noon
46961,2021-06-01,12:54:00,177763,TRADITIONAL BAGUETTE,1,1.2,False,Tuesday,1.2,late morning - noon
46962,2021-06-01,12:58:00,177764,TRADITIONAL BAGUETTE,1,1.2,False,Tuesday,1.2,late morning - noon
46963,2021-06-01,12:58:00,177764,SAND JB EMMENTAL,1,3.5,False,Tuesday,3.5,late morning - noon
46964,2021-06-01,13:02:00,177765,SANDWICH COMPLET,1,4.5,False,Tuesday,4.5,noon - afternoon
46965,2021-06-01,13:02:00,177765,MOISSON,1,2.0,False,Tuesday,2.0,noon - afternoon
46966,2021-06-01,13:04:00,177766,BOULE POLKA,1,1.6,False,Tuesday,1.6,noon - afternoon
46967,2021-06-01,13:04:00,177766,CEREAL BAGUETTE,2,1.25,False,Tuesday,2.5,noon - afternoon
46968,2021-06-01,13:04:00,177766,COUPE,1,0.15,False,Tuesday,0.15,noon - afternoon
46969,2021-06-01,13:08:00,177767,TRADITIONAL BAGUETTE,2,1.2,False,Tuesday,2.4,noon - afternoon
46970,2021-06-01,13:27:00,177769,CEREAL BAGUETTE,1,1.25,False,Tuesday,1.25,noon - afternoon
46971,2021-06-01,16:07:00,177771,BANETTE,1,1.05,False,Tuesday,1.05,early evening
46972,2021-06-01,16:07:00,177771,MOISSON,1,2.0,False,Tuesday,2.0,early evening
46973,2021-06-01,16:26:00,177772,TRADITIONAL BAGUETTE,1,1.2,False,Tuesday,1.2,early evening
46974,2021-06-01,16:27:00,177773,TRADITIONAL BAGUETTE,2,1.2,False,Tuesday,2.4,early evening
46975,2021-06-01,16:30:00,177774,TRADITIONAL BAGUETTE,4,1.2,False,Tuesday,4.8,early evening
46976,2021-06-01,16:36:00,177775,PAIN AU CHOCOLAT,1,1.2,False,Tuesday,1.2,early evening
46977,2021-06-01,16:40:00,177776,TRADITIONAL BAGUETTE,2,1.2,False,Tuesday,2.4,early evening
46978,2021-06-01,16:42:00,177777,BANETTE,2,1.05,False,Tuesday,2.1,early evening
46979,2021-06-01,16:42:00,177778,TRADITIONAL BAGUETTE,2,1.2,False,Tuesday,2.4,early evening
46980,2021-06-01,17:02:00,177779,GD KOUIGN AMANN,1,7.5,False,Tuesday,7.5,early evening
46981,2021-06-01,17:02:00,177779,PAIN CHOCO AMANDES,1,1.5,False,Tuesday,1.5,early evening
46982,2021-06-01,17:02:00,177779,TRADITIONAL BAGUETTE,2,1.2,False,Tuesday,2.4,early evening
46983,2021-06-01,17:08:00,177780,TRADITIONAL BAGUETTE,2,1.2,False,Tuesday,2.4,early evening
